Parent1,Parent2,Child1,Child2
34.0,65.0,100,101
26.0,6.0,102,103
20.0,24.0,104,105
79.0,62.0,106,107
75.0,20.0,108,109
61.0,66.0,110,111
34.0,31.0,112,113
64.0,16.0,114,115
47.0,10.0,116,117
63.0,42.0,118,119
3.0,56.0,120,121
14.0,53.0,122,123
2.0,31.0,124,125
6.0,37.0,126,127
16.0,11.0,128,129
79.0,36.0,130,131
53.0,26.0,132,133
69.0,36.0,134,135
93.0,62.0,136,137
91.0,26.0,138,139
45.0,14.0,140,141
22.0,36.0,142,143
1.0,65.0,144,145
30.0,15.0,146,147
36.0,37.0,148,149
91.0,84.0,150,151
85.0,1.0,152,153
36.0,5.0,154,155
22.0,79.0,156,157
26.0,5.0,158,159
61.0,16.0,160,161
37.0,0.0,162,163
56.0,6.0,164,165
62.0,10.0,166,167
4.0,79.0,168,169
62.0,24.0,170,171
20.0,99.0,172,173
69.0,58.0,174,175
14.0,48.0,176,177
14.0,99.0,178,179
160.0,36.0,180,181
151.0,160.0,182,183
171.0,128.0,184,185
149.0,118.0,186,187
150.0,135.0,188,189
147.0,134.0,190,191
178.0,27.0,192,193
157.0,148.0,194,195
121.0,155.0,196,197
108.0,153.0,198,199
118.0,142.0,200,201
155.0,176.0,202,203
145.0,153.0,204,205
135.0,107.0,206,207
101.0,131.0,208,209
143.0,102.0,210,211
122.0,136.0,212,213
176.0,126.0,214,215
106.0,177.0,216,217
139.0,127.0,218,219
143.0,111.0,220,221
135.0,143.0,222,223
101.0,122.0,224,225
160.0,161.0,226,227
154.0,154.0,228,229
138.0,106.0,230,231
134.0,102.0,232,233
135.0,135.0,234,235
129.0,109.0,236,237
135.0,154.0,238,239
104.0,166.0,240,241
166.0,101.0,242,243
106.0,166.0,244,245
157.0,177.0,246,247
163.0,164.0,248,249
116.0,131.0,250,251
130.0,152.0,252,253
156.0,122.0,254,255
119.0,166.0,256,257
155.0,154.0,258,259
189.0,181.0,260,261
249.0,142.0,262,263
130.0,207.0,264,265
230.0,216.0,266,267
189.0,230.0,268,269
220.0,236.0,270,271
248.0,196.0,272,273
180.0,207.0,274,275
190.0,220.0,276,277
257.0,219.0,278,279
211.0,247.0,280,281
210.0,216.0,282,283
220.0,195.0,284,285
210.0,209.0,286,287
189.0,210.0,288,289
250.0,216.0,290,291
248.0,189.0,292,293
240.0,127.0,294,295
192.0,240.0,296,297
252.0,233.0,298,299
196.0,155.0,300,301
106.0,216.0,302,303
160.0,241.0,304,305
207.0,229.0,306,307
216.0,204.0,308,309
196.0,217.0,310,311
131.0,197.0,312,313
207.0,195.0,314,315
216.0,220.0,316,317
222.0,220.0,318,319
180.0,233.0,320,321
241.0,202.0,322,323
189.0,229.0,324,325
216.0,155.0,326,327
127.0,131.0,328,329
197.0,230.0,330,331
107.0,218.0,332,333
142.0,238.0,334,335
221.0,127.0,336,337
207.0,102.0,338,339
311.0,310.0,340,341
232.0,329.0,342,343
329.0,283.0,344,345
312.0,333.0,346,347
306.0,306.0,348,349
300.0,288.0,350,351
313.0,300.0,352,353
247.0,310.0,354,355
288.0,270.0,356,357
310.0,283.0,358,359
326.0,278.0,360,361
336.0,270.0,362,363
308.0,305.0,364,365
333.0,331.0,366,367
306.0,338.0,368,369
326.0,338.0,370,371
266.0,230.0,372,373
330.0,322.0,374,375
315.0,309.0,376,377
311.0,272.0,378,379
315.0,331.0,380,381
294.0,220.0,382,383
310.0,312.0,384,385
197.0,273.0,386,387
310.0,313.0,388,389
330.0,270.0,390,391
252.0,300.0,392,393
201.0,317.0,394,395
313.0,195.0,396,397
283.0,283.0,398,399
326.0,300.0,400,401
266.0,326.0,402,403
275.0,308.0,404,405
207.0,289.0,406,407
282.0,216.0,408,409
322.0,311.0,410,411
216.0,272.0,412,413
290.0,282.0,414,415
252.0,295.0,416,417
282.0,317.0,418,419
354.0,388.0,420,421
416.0,393.0,422,423
356.0,390.0,424,425
401.0,360.0,426,427
380.0,391.0,428,429
355.0,311.0,430,431
312.0,344.0,432,433
360.0,419.0,434,435
360.0,347.0,436,437
377.0,354.0,438,439
384.0,322.0,440,441
347.0,322.0,442,443
372.0,311.0,444,445
373.0,393.0,446,447
398.0,340.0,448,449
344.0,398.0,450,451
401.0,283.0,452,453
404.0,346.0,454,455
407.0,380.0,456,457
395.0,394.0,458,459
310.0,393.0,460,461
340.0,344.0,462,463
360.0,389.0,464,465
354.0,391.0,466,467
373.0,385.0,468,469
393.0,416.0,470,471
396.0,366.0,472,473
347.0,388.0,474,475
391.0,373.0,476,477
401.0,360.0,478,479
347.0,364.0,480,481
360.0,406.0,482,483
419.0,393.0,484,485
360.0,377.0,486,487
343.0,351.0,488,489
398.0,330.0,490,491
346.0,398.0,492,493
340.0,391.0,494,495
364.0,374.0,496,497
386.0,393.0,498,499
434.0,443.0,500,501
487.0,499.0,502,503
497.0,322.0,504,505
455.0,425.0,506,507
441.0,432.0,508,509
404.0,486.0,510,511
356.0,404.0,512,513
491.0,484.0,514,515
494.0,482.0,516,517
384.0,411.0,518,519
470.0,377.0,520,521
390.0,491.0,522,523
447.0,474.0,524,525
482.0,485.0,526,527
496.0,485.0,528,529
487.0,485.0,530,531
391.0,455.0,532,533
482.0,446.0,534,535
469.0,404.0,536,537
346.0,443.0,538,539
455.0,428.0,540,541
476.0,446.0,542,543
446.0,374.0,544,545
390.0,436.0,546,547
446.0,461.0,548,549
487.0,346.0,550,551
431.0,485.0,552,553
411.0,442.0,554,555
423.0,443.0,556,557
461.0,491.0,558,559
384.0,404.0,560,561
481.0,469.0,562,563
470.0,455.0,564,565
487.0,487.0,566,567
391.0,457.0,568,569
494.0,444.0,570,571
461.0,484.0,572,573
425.0,390.0,574,575
474.0,461.0,576,577
404.0,404.0,578,579
527.0,484.0,580,581
550.0,579.0,582,583
521.0,551.0,584,585
531.0,516.0,586,587
557.0,549.0,588,589
443.0,461.0,590,591
460.0,521.0,592,593
579.0,447.0,594,595
404.0,533.0,596,597
504.0,511.0,598,599
557.0,443.0,600,601
490.0,470.0,602,603
552.0,486.0,604,605
524.0,525.0,606,607
515.0,562.0,608,609
535.0,559.0,610,611
533.0,549.0,612,613
511.0,548.0,614,615
514.0,515.0,616,617
514.0,550.0,618,619
528.0,520.0,620,621
556.0,557.0,622,623
533.0,525.0,624,625
551.0,579.0,626,627
447.0,511.0,628,629
455.0,474.0,630,631
565.0,515.0,632,633
541.0,535.0,634,635
460.0,572.0,636,637
515.0,511.0,638,639
558.0,538.0,640,641
514.0,446.0,642,643
486.0,579.0,644,645
515.0,523.0,646,647
548.0,527.0,648,649
573.0,515.0,650,651
572.0,514.0,652,653
487.0,436.0,654,655
566.0,436.0,656,657
441.0,566.0,658,659
633.0,653.0,660,661
658.0,511.0,662,663
596.0,572.0,664,665
627.0,596.0,666,667
617.0,531.0,668,669
653.0,404.0,670,671
572.0,611.0,672,673
515.0,619.0,674,675
549.0,632.0,676,677
632.0,640.0,678,679
617.0,582.0,680,681
603.0,611.0,682,683
627.0,511.0,684,685
627.0,602.0,686,687
605.0,613.0,688,689
626.0,627.0,690,691
619.0,597.0,692,693
588.0,598.0,694,695
511.0,404.0,696,697
611.0,626.0,698,699
600.0,617.0,700,701
637.0,632.0,702,703
642.0,642.0,704,705
531.0,626.0,706,707
584.0,598.0,708,709
592.0,629.0,710,711
623.0,653.0,712,713
619.0,659.0,714,715
581.0,618.0,716,717
531.0,579.0,718,719
613.0,617.0,720,721
617.0,586.0,722,723
618.0,642.0,724,725
611.0,643.0,726,727
527.0,658.0,728,729
612.0,642.0,730,731
584.0,579.0,732,733
581.0,638.0,734,735
632.0,549.0,736,737
528.0,611.0,738,739
726.0,716.0,740,741
676.0,703.0,742,743
617.0,703.0,744,745
670.0,720.0,746,747
735.0,531.0,748,749
660.0,648.0,750,751
707.0,638.0,752,753
669.0,716.0,754,755
638.0,706.0,756,757
721.0,700.0,758,759
642.0,653.0,760,761
668.0,665.0,762,763
705.0,683.0,764,765
648.0,668.0,766,767
710.0,670.0,768,769
694.0,660.0,770,771
707.0,697.0,772,773
629.0,699.0,774,775
707.0,732.0,776,777
678.0,703.0,778,779
633.0,673.0,780,781
617.0,699.0,782,783
703.0,736.0,784,785
710.0,725.0,786,787
611.0,672.0,788,789
648.0,721.0,790,791
660.0,707.0,792,793
628.0,683.0,794,795
718.0,643.0,796,797
706.0,629.0,798,799
739.0,611.0,800,801
683.0,511.0,802,803
660.0,685.0,804,805
699.0,676.0,806,807
628.0,699.0,808,809
707.0,683.0,810,811
653.0,685.0,812,813
735.0,710.0,814,815
727.0,629.0,816,817
638.0,717.0,818,819
806.0,790.0,820,821
670.0,806.0,822,823
751.0,788.0,824,825
778.0,788.0,826,827
775.0,769.0,828,829
768.0,727.0,830,831
772.0,660.0,832,833
788.0,754.0,834,835
765.0,744.0,836,837
789.0,761.0,838,839
774.0,653.0,840,841
707.0,780.0,842,843
762.0,741.0,844,845
750.0,664.0,846,847
660.0,699.0,848,849
780.0,707.0,850,851
660.0,788.0,852,853
788.0,812.0,854,855
672.0,780.0,856,857
754.0,762.0,858,859
793.0,780.0,860,861
672.0,810.0,862,863
797.0,819.0,864,865
803.0,793.0,866,867
759.0,774.0,868,869
741.0,818.0,870,871
810.0,775.0,872,873
804.0,790.0,874,875
751.0,811.0,876,877
799.0,789.0,878,879
660.0,753.0,880,881
775.0,744.0,882,883
717.0,810.0,884,885
796.0,669.0,886,887
789.0,699.0,888,889
672.0,768.0,890,891
761.0,816.0,892,893
803.0,802.0,894,895
800.0,789.0,896,897
769.0,802.0,898,899
